iter	Accuracy	MultiClass
0	0.8060194987	1.044489733
1	0.8060064299	0.9964180369
2	0.8067513526	0.9541652725
3	0.8061371181	0.9168813138
4	0.8068297655	0.8827746122
5	0.8068820408	0.8524521817
6	0.8069212473	0.8248928876
7	0.8069343161	0.8000170804
8	0.806215531	0.7777892595
9	0.8070650043	0.7572366057
10	0.8069865914	0.7381215411
11	0.8071826237	0.7208496958
12	0.8076138948	0.7051950266
13	0.8074962754	0.6903284765
14	0.8082281293	0.6764576875
15	0.8091037403	0.663546473
16	0.8092213597	0.6518818269
17	0.8096134243	0.6412840867
18	0.8106719987	0.6311300077
19	0.8108810999	0.621365664
20	0.8109987193	0.6123301007
21	0.8114430591	0.6038744642
22	0.8116521603	0.595807584
23	0.8119396743	0.5882449296
24	0.8124885648	0.5811595064
25	0.8129459735	0.5745529028
26	0.8139784103	0.5685507838
27	0.8140045479	0.563008701
28	0.8141090985	0.5580268716
29	0.8142267179	0.5530374438
30	0.8143704749	0.5480410723
31	0.8143051308	0.543705488
32	0.8144880943	0.5393802478
33	0.8145534384	0.5353831866
34	0.8148801589	0.5318230158
35	0.8150239159	0.5284892264
36	0.8152591547	0.5248396996
37	0.8153244988	0.5216323059
38	0.8156512193	0.5185777934
39	0.816474555	0.5155256807
40	0.8167228626	0.5127313944
41	0.8170234455	0.5101540677
42	0.8173240283	0.5081411556
43	0.8175723359	0.5060295174
44	0.8177160929	0.5037647866
45	0.817781437	0.5018719698
46	0.8179382629	0.49986759
47	0.8180950887	0.4979405789
48	0.8182257769	0.4963882604
49	0.8184087404	0.4948463444
50	0.8183956716	0.4934442138
51	0.8185655663	0.4921328457
52	0.8187354609	0.4906194637
53	0.8189445621	0.4891937052
54	0.819166732	0.4878537356
55	0.8192712826	0.486348465
56	0.8194281084	0.4850160806
57	0.8195065213	0.4839043931
58	0.8195718654	0.4827745914
59	0.8196502784	0.4816951899
60	0.8197156225	0.4806618081
61	0.8198724483	0.4796801665
62	0.8202253065	0.4788413402
63	0.8201861	0.4777963234
64	0.8204866829	0.4769512425
65	0.8206043023	0.4760771282
66	0.8208656787	0.4752388106
67	0.8209179539	0.4745534775
68	0.8211401239	0.4737229325
69	0.8210486421	0.4731185982
70	0.8209963669	0.4725445089
71	0.8211139863	0.4717629932
72	0.821205468	0.4710961154
73	0.8211270551	0.4706863096
74	0.8214015003	0.4701933874
75	0.8214407068	0.4697071418
76	0.8214407068	0.4692009716
77	0.8218327714	0.4685714631
78	0.8219111843	0.4680946329
79	0.8220549413	0.4676411917
80	0.8220288037	0.4671129046
81	0.8222901801	0.4665832688
82	0.8223555242	0.46611629
83	0.8224992812	0.4655672436
84	0.8225776941	0.4651384669
85	0.8227214512	0.4648122418
86	0.8228390705	0.4642488915
87	0.823022034	0.4637154492
88	0.8231135158	0.4633232102
89	0.8232834104	0.4627776707
90	0.8233618234	0.4624415264
91	0.8234663739	0.4620022483
92	0.8235447868	0.4615703984
93	0.8237408192	0.4612241794
94	0.8239499203	0.4608749684
95	0.8240283332	0.4604866549
96	0.8240544708	0.4602301474
97	0.8241198149	0.4599901402
98	0.8242374343	0.4597036363
99	0.824263572	0.4593987637
100	0.8243811914	0.4591510664
101	0.8246817742	0.4588149174
102	0.8247863248	0.458427647
103	0.8246556366	0.4581000417
104	0.8247863248	0.457959374
105	0.8249039442	0.4576482114
106	0.8249954259	0.4573200979
107	0.8249823571	0.4571296275
108	0.8251130453	0.456863282
109	0.8253874905	0.4566126381
110	0.8254528346	0.4563611375
111	0.8254789723	0.4561341803
112	0.8255573852	0.4558503109
113	0.8256357981	0.4555571116
114	0.8255965917	0.4553513172
115	0.8256880734	0.4551977518
116	0.8259494498	0.4550224658
117	0.8260409315	0.454745964
118	0.8261062756	0.4544990529
119	0.8261585509	0.4541770889
120	0.8262761703	0.4538944352
121	0.8263807209	0.4537728675
122	0.8264591338	0.4535360045
123	0.8266028908	0.4533398328
124	0.8266551661	0.4532169501
125	0.8267074414	0.4530230291
126	0.826733579	0.4528439537
127	0.8268381296	0.452618945
128	0.8267597167	0.4525159362
129	0.8268904049	0.4523640284
130	0.8269949554	0.4521062163
131	0.8269818866	0.4519747151
132	0.827099506	0.4518477809
133	0.8269426802	0.4517127542
134	0.8270472307	0.4514060666
135	0.8270733684	0.4511987691
136	0.8271256436	0.4511353333
137	0.827099506	0.4509564607
138	0.8272171254	0.450687027
139	0.8272563318	0.4505338985
140	0.8272955383	0.4503466523
141	0.8274915706	0.4502353652
142	0.8274131577	0.4500407171
143	0.8274785018	0.449837118
144	0.8273608824	0.4496885888
145	0.8274262265	0.4495408063
146	0.8275177083	0.4493358115
147	0.8275177083	0.4491853856
148	0.8275307771	0.4490081116
149	0.8275307771	0.4488857261
150	0.8274915706	0.4487559748
151	0.82760919	0.4485168924
152	0.8276483965	0.4483370386
153	0.8276222588	0.4482548457
154	0.8276353276	0.4480969344
155	0.8276222588	0.4479808832
156	0.827752947	0.4478600161
157	0.8277790847	0.447708089
158	0.8278444288	0.4475487932
159	0.8278052223	0.4474104912
160	0.8278836352	0.4472941161
161	0.8279881858	0.4472127436
162	0.828118874	0.4470094852
163	0.828118874	0.4468665491
164	0.8282364934	0.4467448872
165	0.8282103557	0.4466302919
166	0.8282103557	0.44648119
167	0.8283018375	0.4463838325
168	0.8283018375	0.446244071
169	0.8282756998	0.4461568591
170	0.8283018375	0.4459728826
171	0.8283541128	0.44589086
172	0.8283149063	0.4457652866
173	0.8283541128	0.4456109539
174	0.8284325257	0.4455288148
175	0.8283671816	0.4454216338
176	0.8283541128	0.4453147337
177	0.8285240074	0.4451960697
178	0.8285109386	0.4450846697
179	0.8285109386	0.4449919784
180	0.8286416268	0.4448172129
181	0.8288245903	0.4446585337
182	0.8288115215	0.4445680533
183	0.8289030032	0.4444717593
184	0.8289030032	0.4443945144
185	0.828994485	0.4442537299
186	0.8288899344	0.4441520887
187	0.8289291409	0.4439743474
188	0.8290336914	0.4438787132
189	0.8289291409	0.44377843
190	0.8290598291	0.4436547449
191	0.8291121043	0.4435713822
192	0.8291774484	0.4434782511
193	0.8292950678	0.4433350808
194	0.829281999	0.443213633
195	0.8293734807	0.4431109093
196	0.8294126872	0.4430025474
197	0.8293734807	0.4429236836
198	0.8294388249	0.4428334675
199	0.8293604119	0.4427292701
200	0.8292950678	0.4426157472
201	0.8293081366	0.4424670013
202	0.829425756	0.4423581206
203	0.8293734807	0.4422792283
204	0.8294911001	0.4421817921
205	0.8295564442	0.4420928422
206	0.8296217883	0.4419836183
207	0.8297394077	0.4417823216
208	0.8297394077	0.4416754276
209	0.8297524765	0.4415572005
210	0.8298962336	0.4415045027
211	0.8298700959	0.4413323113
212	0.8298831647	0.4411852357
213	0.8300007841	0.4410376001
214	0.8300138529	0.4409547638
215	0.8300269218	0.4408228835
216	0.8301314723	0.4407254378
217	0.8302490917	0.440621607
