iter	Passed	Remaining
0	414	206706
1	665	165618
2	896	148535
3	1132	140486
4	1356	134321
5	1641	135188
6	1886	132870
7	2188	134594
8	2469	134731
9	2749	134720
10	3007	133676
11	3308	134543
12	3615	135455
13	3946	137015
14	4271	138106
15	4612	139537
16	4957	140861
17	5297	141854
18	5575	141154
19	5888	141317
20	6137	140003
21	6459	140337
22	6779	140591
23	7133	141474
24	7461	141777
25	7809	142366
26	8132	142477
27	8440	142286
28	8716	141561
29	9019	141312
30	9289	140540
31	9593	140311
32	9896	140056
33	10204	139862
34	10526	139848
35	10874	140163
36	11232	140558
37	11576	140748
38	11904	140718
39	12178	140048
40	12500	139940
41	12795	139531
42	13097	139201
43	13426	139147
44	13739	138920
45	14053	138699
46	14408	138868
47	14729	138698
48	15046	138490
49	15361	138256
50	15674	138001
51	15962	137520
52	16274	137256
53	16590	137028
54	16855	136377
55	17119	135736
56	17385	135122
57	17687	134789
58	18012	134636
59	18350	134567
60	18652	134239
61	18976	134057
62	19282	133756
63	19650	133871
64	20018	133970
65	20325	133653
66	20651	133462
67	20941	133039
68	21279	132918
69	21610	132752
70	21985	132839
